A	ένα	éna
Finger	δάχτυλο	dáchtylo
Finish	φινίρισμα	finírisma
Fire	Φωτιά	Fotiá
Firm	εταιρεία	etaireía
First	πρώτα	próta
Fish	ψάρι	psári
Five	πέντε	pénte
Floor	πάτωμα	pátoma
Fly	πετώ	petó
Focus	Συγκεντρώνω	Synkentróno
Follow	ακολουθηστε	akolouthiste
Food	φαγητό	fagitó
Foot	πόδι	pódi
For	Για	Gia
Force	δύναμη	dýnami
Foreign	ξένο	xéno
Forget	ξεχνάμε	xechnáme
Form	μορφή	morfí
Former	πρώην	próin
Forward	προς τα εμπρός	pros ta emprós
Four	τέσσερις	tésseris
Free	Ελεύθερος	Eléftheros
Friend	φίλος	fílos
From	από	apó
Front	εμπρός	emprós
Full	γεμάτος	gemátos
Fund	κεφάλαιο	kefálaio
Future	μελλοντικός	mellontikós.
Game	παιχνίδι	paichnídi
Garden	κήπος	kípos
Gas	αέριο	aério
General	γενικός	genikós
Generation	γενιά	geniá
Get	παίρνω	paírno
Girl	κορίτσι	korítsi
Give	δίνω	díno
Glass	ποτήρι	potíri
Go	πηγαίνω	pigaíno
Goal	στόχος	stóchos
Good	Καλός	Kalós
Government	κυβέρνηση	kyvérnisi
Great	μεγάλος	megálos
Green	πράσινος	prásinos
Ground	έδαφος	édafos
Group	ομάδα	omáda
Grow	καλλιεργώ	kalliergó
Growth	ανάπτυξη	anáptyxi
Guess	εικασία	eikasía
Gun	όπλο	óplo
Guy	ο τύπος	o týpos
Hair	μαλλιά	malliá
Half	τα μισα	ta misa
Hand	χέρι	chéri
Hang	κρεμάω	kremáo
Happen	συμβεί	symveí
Happy	χαρούμενος	charoúmenos
Hard	σκληρός	sklirós
Have	έχω	écho
He	αυτός	aftós
Head	κεφάλι	kefáli
Health	υγεία	ygeía
Hear	ακούω	akoúo
Heart	καρδιά	kardiá
Heat	θερμότητα	thermótita
Heavy	βαρύς	varýs
Help	βοήθεια	voítheia
Her	αυτήν	aftín
Here	εδώ	edó
Herself	εαυτήν	eaftín
High	υψηλός	ypsilós
Him	αυτόν	aftón
Himself	ο ίδιος	o ídios
His	του	tou
History	ιστορία	istoría
Hit	Κτύπημα	Ktýpima
Hold	Κρατήστε	Kratíste
Home	Σπίτι	Spíti
Hope	Ελπίζω	Elpízo
Hospital	νοσοκομείο	nosokomeío
Hot	ζεστό	zestó
Hotel	ξενοδοχειο	xenodocheio
Hour	ώρα	óra
House	σπίτι	spíti
How	πως	pos
However	ωστόσο	ostóso
Huge	τεράστιος	terástios
Human	ο άνθρωπος	o ánthropos
Hundred	εκατό	ekató
Husband	σύζυγος	sýzygos
I	Εγώ	Egó
Idea	ιδέα	idéa
Identify	αναγνωρίζω	anagnorízo
If	αν	an
Image	εικόνα	eikóna
Imagine	φαντάζομαι	fantázomai
Impact	επίπτωση	epíptosi
Important	σπουδαίος	spoudaíos
Improve	βελτιώσει	veltiósei
In	σε	se
Include	περιλαμβάνω	perilamváno
Including	συμπεριλαμβανομένου	symperilamvanoménou
Increase	αυξάνουν	afxánoun
Indeed	πράγματι	prágmati
Indicate	υποδεικνύω	ypodeiknýo
Individual	άτομο	átomo
Industry	βιομηχανία	viomichanía
Information	πληροφορίες	pliroforíes
Inside	μέσα	mésa
Instead	αντι αυτου	anti aftou
Institution	ίδρυμα	ídryma
Interest	ενδιαφέρον	endiaféron
Interesting	ενδιαφέρων	endiaféron
International	Διεθνές	Diethnés
Interview	συνέντευξη	synéntefxi
Into	σε	se
Investment	επένδυση	epéndysi
Involve	εμπλέκω	empléko
Issue	θέμα	théma
It	το	to
Item	είδος	eídos
Its	του	tou
Itself	εαυτό	eaftó
Job	δουλειά	douleiá
Join	Συμμετοχή	Symmetochí
Just	μόλις	mólis
Keep	διατήρηση	diatírisi
Key	κλειδί	kleidí
Kid	παιδί	paidí
Kill	σκοτώνω	skotóno
Kind	είδος	eídos
Kitchen	κουζίνα	kouzína
Know	ξέρω	xéro
Knowledge	η γνώση	i gnósi
Land	γη	gi
Language	Γλώσσα	Glóssa
Large	μεγάλο	megálo
Last	τελευταίος	teleftaíos
Late	αργά	argá
Later	αργότερα	argótera
Laugh	γέλιο	gélio
Law	νόμος	nómos
Lawyer	δικηγόρος	dikigóros
Lay	λαϊκός	laïkós
Lead	οδηγω	odigo
Leader	ηγέτης	igétis
Learn	μαθαίνω	mathaíno
Least	ελάχιστα	eláchista
Leave	άδεια	ádeia
Left	αριστερά	aristerá
Leg	πόδι	pódi
Legal	νομικός	nomikós
Less	πιο λιγο	pio ligo
Let	αφήνω	afíno
Letter	γράμμα	grámma
Level	επίπεδο	epípedo
Lie	ψέμα	pséma
Life	ΖΩΗ	ZOI
Light	φως	fos
Like	σαν	san
Likely	πιθανός	pithanós
Line	γραμμή	grammí
List	λίστα	lísta
Listen	ακούω	akoúo
Little	λίγο	lígo
Live	ζω	zo
Local	τοπικός	topikós
Long	μακρύς	makrýs
Look	Κοίτα	Koíta
Lose	χάνω	cháno
Loss	απώλεια	apóleia
Lot	παρτίδα	partída
Love	αγάπη	agápi
Low	χαμηλός	chamilós
Machine	μηχανή	michaní
Magazine	περιοδικό	periodikó
Main	κύριος	kýrios
Maintain	διατηρούν	diatiroún
Major	μείζων	meízon
Majority	η πλειοψηφία	i pleiopsifía
Make	φτιαχνω, κανω	ftiachno, kano
Man	άνδρας	ándras
Manage	διαχειρίζονται	diacheirízontai
Management	διαχείριση	diacheírisi
Manager	διευθυντής	diefthyntís
Many	Πολλά	Pollá
Market	αγορά	agorá
Marriage	γάμος	gámos
Material	υλικό	ylikó
Matter	ύλη	ýli
May	ενδέχεται	endéchetai
Maybe	μπορεί	boreí
Me	μου	mou
Mean	σημαίνω	simaíno
Measure	μετρήσει	metrísei
Media	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	meso MAZIKIS ENIMEROSIS
Medical	ιατρικός	iatrikós
Meet	συναντώ	synantó
Meeting	συνάντηση	synántisi
Member	μέλος	mélos
Memory	μνήμη	mními
Mention	αναφέρω	anaféro
Message	μήνυμα	mínyma
Method	μέθοδος	méthodos
Middle	Μέσης	Mésis
Might	θα μπορούσε	tha boroúse
Military	Στρατός	Stratós
Million	εκατομμύριο	ekatommýrio
Mind	μυαλό	myaló
Minute	λεπτό	leptó
Miss	δεσποινίδα	despoinída
Mission	αποστολή	apostolí
Model	μοντέλο	montélo
Modern	μοντέρνο	montérno
Moment	στιγμή	stigmí
Money	χρήματα	chrímata
Month	μήνας	mínas
More	περισσότερο	perissótero
Morning	πρωί	proí
Most	πλέον	pléon
Mother	μητέρα	mitéra
Mouth	στόμα	stóma
Move	κίνηση	kínisi
Movement	κίνηση	kínisi
Movie	ταινία	tainía
Mr	κύριος	kýrios
Mrs	κυρία	kyría
Much	πολύ	polý
Music	ΜΟΥΣΙΚΗ	MOUSIKI
Must	πρέπει	prépei
My	μου	mou
Myself	εγώ ο ίδιος	egó o ídios
Nation	έθνος	éthnos
National	εθνικός	ethnikós
Natural	φυσικός	fysikós
Nature	φύση	fýsi
Near	κοντά	kontá
Nearly	σχεδόν	schedón
Necessary	απαραίτητη	aparaítiti
Need	χρειάζομαι	chreiázomai
Network	δίκτυο	díktyo
Never	ποτέ	poté
New	νέος	néos
News	Νέα	Néa
Newspaper	εφημερίδα	efimerída
Next	Επόμενο	Epómeno
Nice	όμορφη	ómorfi
Night	Νύχτα	Nýchta
No	όχι	óchi
None	κανένας	kanénas
Nor	ούτε	oúte
North	Βόρειος	Vóreios
Not	δεν	den
Note	Σημείωση	Simeíosi
Nothing	τίποτα	típota
Notice	ειδοποίηση	eidopoíisi
Now	τώρα	tóra
N’t	όχι	óchi
Number	αριθμός	arithmós
Occur	συμβούν	symvoún
Of	του	tou
Off	μακριά από	makriá apó
Offer	προσφορά	prosforá
Office	γραφείο	grafeío
Officer	αξιωματικός	axiomatikós
Official	επίσημος	epísimos
Often	συχνά	sychná
Oh	ω	o
Oil	λάδι	ládi
Ok	Εντάξει	Entáxei
Old	παλαιός	palaiós
On	επί	epí
Once	μια φορά	mia forá
One	ένας	énas
Only	μόνο	móno
Onto	επάνω σε	epáno se
Open	Άνοιξε	Ánoixe
Operation	λειτουργία	leitourgía
Opportunity	ευκαιρία	efkairía
Option	επιλογή	epilogí
Or	ή	í
Order	Σειρά	Seirá
Organization	οργάνωση	orgánosi
Other	άλλα	álla
Others	οι υπολοιποι	oi ypoloipoi
Our	μας	mas
Out	έξω	éxo
Outside	εξω απο	exo apo
Over	πάνω από	páno apó
Own	το δικό	to dikó
Owner	ιδιοκτήτης	idioktítis
Page	σελίδα	selída
Pain	πόνος	pónos
Painting	ζωγραφική	zografikí
Paper	χαρτί	chartí
Parent	μητρική εταιρεία	mitrikí etaireía
Part	μέρος	méros
Participant	συμμέτοχος	symmétochos
Particular	ιδιαιτερος	idiaiteros
Particularly	ιδιαίτερα	idiaítera
Partner	εταίρος	etaíros
Party	κόμμα	kómma
Pass	πέρασμα	pérasma
Past	το παρελθόν	to parelthón
Patient	υπομονετικος	ypomonetikos
Pattern	πρότυπο	prótypo
Pay	πληρωμή	pliromí
Peace	ειρήνη	eiríni
People	Ανθρωποι	Anthropoi
Per	ανά	aná
Perform	εκτελώ	ekteló
Performance	εκτέλεση	ektélesi
Perhaps	ίσως	ísos
Period	περίοδος	períodos
Person	πρόσωπο	prósopo
Personal	προσωπικός	prosopikós
Phone	τηλέφωνο	tiléfono
Physical	φυσικός	fysikós
Pick	διαλέγω	dialégo
Picture	εικόνα	eikóna
Piece	κομμάτι	kommáti
Place	θέση	thési
Plan	σχέδιο	schédio
Plant	φυτό	fytó
Play	παίζω	paízo
Player	παίχτης	paíchtis
Pm	ΜΕΤΑ ΜΕΣΗΜΒΡΙΑΣ	META MESIMVRIAS
Point	σημείο	simeío
Police	αστυνομία	astynomía
Policy	πολιτική	politikí
Political	πολιτικός	politikós
Politics	πολιτική	politikí
Poor	Φτωχός	Ftochós
Popular	δημοφιλής	dimofilís
Population	πληθυσμός	plithysmós
Position	θέση	thési
Positive	θετικός	thetikós
Possible	δυνατόν	dynatón
Power	εξουσία	exousía
Practice	πρακτική	praktikí
Prepare	προετοιμάζω	proetoimázo
Present	παρόν	parón
President	Πρόεδρος	Próedros
Pressure	πίεση	píesi
Pretty	αρκετά	arketá
Prevent	αποτρέψει	apotrépsei
Price	τιμή	timí
Private	ιδιωτικός	idiotikós
Probably	πιθανώς	pithanós
Problem	πρόβλημα	próvlima
Process	επεξεργάζομαι, διαδικασία	epexergázomai, diadikasía
Produce	παράγω	parágo
Product	προϊόν	proïón
Production	παραγωγή	paragogí
Professional	επαγγελματίας	epangelmatías
Professor	καθηγητής	kathigitís
Program	πρόγραμμα	prógramma
Project	έργο	érgo
Property	ιδιοκτησία	idioktisía
Protect	προστατεύω	prostatévo
Prove	αποδεικνύω	apodeiknýo
Provide	προμηθεύω	promithévo
Public	δημόσιο	dimósio
Pull	Τραβήξτε	Travíxte
Purpose	σκοπός	skopós
Push	Σπρώξτε	Spróxte
Put	βάζω	vázo
Quality	ποιότητα	poiótita
Question	ερώτηση	erótisi
Quickly	γρήγορα	grígora
Quite	αρκετά	arketá
Race	αγώνας	agónas
Radio	ραδιόφωνο	radiófono
Raise	υψώνω	ypsóno
Range	εύρος	évros
Rate	τιμή	timí
Rather	μάλλον	mállon
Reach	φθάνω	ftháno
Read	ανάγνωση	anágnosi
Ready	έτοιμος	étoimos
Real	πραγματικός	pragmatikós
Reality	πραγματικότητα	pragmatikótita
Realize	συνειδητοποιώ	syneiditopoió
Really	Πραγματικά	Pragmatiká
Reason	λόγος	lógos
Receive	λαμβάνω	lamváno
Recent	πρόσφατος	prósfatos
Recently	πρόσφατα	prósfata
Recognize	αναγνωρίζω	anagnorízo
Record	Ρεκόρ	Rekór
Red	το κόκκινο	to kókkino
Reduce	περιορίζω	periorízo
Reflect	κατοπτρίζω	katoptrízo
Region	περιοχή	periochí
Relate	σχετίζομαι	schetízomai
Relationship	σχέση	schési
Religious	θρησκευτικός	thriskeftikós
Remain	παραμένει	paraménei
Remember	θυμάμαι	thymámai
Remove	αφαιρώ	afairó
Report	κανω ΑΝΑΦΟΡΑ	kano ANAFORA
Represent	εκπροσωπώ	ekprosopó
Republican	Δημοκρατικός	Dimokratikós
Require	απαιτώ	apaitó
Research	έρευνα	érevna
Resource	πόρος	póros
Respond	απαντώ	apantó
Response	απάντηση	apántisi
Responsibility	ευθύνη	efthýni
Rest	υπόλοιπο	ypóloipo
Result	αποτέλεσμα	apotélesma
Return	ΕΠΙΣΤΡΟΦΗ	EPISTROFI
Reveal	αποκαλύπτω	apokalýpto
Rich	πλούσιος	ploúsios
Right	σωστά	sostá
Rise	αύξηση	áfxisi
Risk	κίνδυνος	kíndynos
Road	δρόμος	drómos
Rock	βράχος	vráchos
Role	ρόλος	rólos
Room	δωμάτιο	domátio
Rule	κανόνας	kanónas
Run	τρέξιμο	tréximo
Safe	ασφαλής	asfalís
Same	ίδιο	ídio
Save	αποθηκεύσετε	apothikéfsete
Say	λένε	léne
Scene	σκηνή	skiní
School	σχολείο	scholeío
Science	επιστήμη	epistími
Scientist	επιστήμονας	epistímonas
Score	σκορ	skor
Sea	θάλασσα	thálassa
Season	εποχή	epochí
Seat	έδρα	édra
Second	δεύτερος	défteros
Section	Ενότητα	Enótita
Security	ασφάλεια	asfáleia
See	βλέπω	vlépo
Seek	ψάχνω	psáchno
Seem	φαίνομαι	faínomai
Sell	Πουλώ	Pouló
Send	στείλετε	steílete
Senior	αρχαιότερος	archaióteros
Sense	έννοια	énnoia
Series	σειρά	seirá
Serious	σοβαρός	sovarós
Serve	σερβίρισμα	servírisma
Service	υπηρεσία	ypiresía
Set	σειρά	seirá
Seven	επτά	eptá
Several	αρκετά	arketá
Sex	φύλο	fýlo
Sexual	σεξουαλικός	sexoualikós
Shake	σέικ	séik
Share	μερίδιο	merídio
She	αυτή	aftí
Shoot	βλαστός	vlastós
Short	μικρός	mikrós
Shot	βολή	volí
Should	πρέπει	prépei
Shoulder	ώμος	ómos
Show	προβολή	provolí
Side	πλευρά	plevrá
Sign	σημάδι	simádi
Significant	σημαντικός	simantikós
Similar	παρόμοιος	parómoios
Simple	απλός	aplós
Simply	απλά	aplá
Since	Από	Apó
Sing	τραγουδώ	tragoudó
Single	μονόκλινο	monóklino
Sister	αδελφή	adelfí
Sit	Καθίστε	Kathíste
Site	ιστοσελίδα	istoselída
Situation	κατάσταση	katástasi
Six	έξι	éxi
Size	Μέγεθος	Mégethos
Skill	επιδεξιότητα	epidexiótita
Skin	δέρμα	dérma
Small	μικρό	mikró
Smile	χαμόγελο	chamógelo
So	Έτσι	Étsi
Social	κοινωνικός	koinonikós
Society	κοινωνία	koinonía
Soldier	στρατιώτης	stratiótis
Some	μερικοί	merikoí
Somebody	κάποιος	kápoios
Someone	κάποιος	kápoios
Something	κάτι	káti
Sometimes	ωρες ωρες	ores ores
Son	υιός	yiós
Song	τραγούδι	tragoúdi
Soon	σύντομα	sýntoma
Sort	είδος	eídos
Sound	ήχος	íchos
Source	πηγή	pigí
South	Νότος	Nótos
Southern	νότιος	nótios
Space	χώρος	chóros
Speak	μιλώ	miló
Special	ειδικός	eidikós
Specific	ειδικός	eidikós
Speech	ομιλία	omilía
Spend	περάσετε	perásete
Sport	άθλημα	áthlima
Spring	άνοιξη	ánoixi
Staff	προσωπικό	prosopikó
Stage	στάδιο	stádio
Stand	στάση	stási
Standard	πρότυπο	prótypo
Star	αστέρι	astéri
Start	αρχή	archí
State	κατάσταση	katástasi
Statement	δήλωση	dílosi
Station	σταθμός	stathmós
Stay	διαμονή	diamoní
Step	βήμα	víma
Still	ακόμη	akómi
Stock	στοκ	stok
Stop	να σταματήσει	na stamatísei
Store	κατάστημα	katástima
Story	ιστορία	istoría
Strategy	στρατηγική	stratigikí
Street	δρόμος	drómos
Strong	ισχυρός	ischyrós
Structure	δομή	domí
Student	μαθητης σχολειου	mathitis scholeiou
Study	μελέτη	meléti
Stuff	υλικό	ylikó
Style	στυλ	styl
Subject	θέμα	théma
Success	επιτυχία	epitychía
Successful	επιτυχής	epitychís
Such	τέτοιος	tétoios
Suddenly	ξαφνικά	xafniká
Suffer	υποφέρω	ypoféro
Suggest	προτείνω	proteíno
Summer	καλοκαίρι	kalokaíri
Support	υποστήριξη	ypostírixi
Sure	σίγουρος	sígouros
Surface	επιφάνεια	epifáneia
System	Σύστημα	Sýstima
Table	τραπέζι	trapézi
Take	παίρνω	paírno
Talk	μιλα ρε	mila re
Task	έργο	érgo
Tax	φόρος	fóros
Teach	διδάσκω	didásko
Teacher	δάσκαλος	dáskalos
Team	ομάδα	omáda
Technology	τεχνολογία	technología
Television	τηλεόραση	tileórasi
Tell	λέγω	légo
Ten	δέκα	déka
Tend	τείνω	teíno
Term	όρος	óros
Test	δοκιμή	dokimí
Than	από	apó
Thank	ευχαριστώ	efcharistó
That	ότι	óti
The	ο	o
Their	δικα τους	dika tous
Them	τους	tous
Themselves	τους εαυτούς τους	tous eaftoús tous
Then	έπειτα	épeita
Theory	θεωρία	theoría
There	εκεί	ekeí
These	αυτά τα	aftá ta
They	αυτοί	aftoí
Thing	πράγμα	prágma
Think	νομίζω	nomízo
Third	τρίτος	trítos
This	αυτό	aftó
Those	εκείνοι	ekeínoi
Though	αν και	an kai
Thought	σκέψη	sképsi
Thousand	χίλια	chília
Threat	απειλή	apeilí
Three	τρία	tría
Through	διά μέσου	diá mésou
Throughout	καθόλη τη διάρκεια	kathóli ti diárkeia
Throw	βολή	volí
Thus	έτσι	étsi
Time	χρόνος	chrónos
To	προς την	pros tin
Today	σήμερα	símera
Together	μαζί	mazí
Tonight	απόψε	apópse
Too	πολύ	polý
Top	μπλουζα	blouza
Total	σύνολο	sýnolo
Tough	σκληρός	sklirós
Toward	προς	pros
Town	πόλη	póli
Trade	εμπορικές συναλλαγές	emporikés synallagés
Traditional	παραδοσιακός	paradosiakós
Training	εκπαίδευση	ekpaídefsi
Travel	ταξίδι	taxídi
Treat	θεραπεύω	therapévo
